CustomerID,FirstName,LastName,DateOfBirth,Gender,Province,City,CustomerSegment,JoinDate,RiskRating,EmploymentStatus,AnnualIncome,IsActive
C000001,Kagiso,Cele,1986-03-02,Female,Gauteng,Johannesburg,Mass Market,2026-06-26,Medium,Employed,136298,True
C000002,Priya,Smith,1960-12-10,Male,Gauteng,Sandton,Mass Market,2026-04-05,Low,Employed,215688,True
C000003,Muhammad,Jacobs,1965-09-23,Male,Eastern Cape,East London,Mass Market,2024-01-02,Low,Self-Employed,163638,True
C000004,Naledi,Cele,1965-12-13,Male,Gauteng,Johannesburg,Emerging Affluent,2023-06-25,Medium,Employed,564308,True
C000005,Mpho,Brown,2003-06-09,Female,Gauteng,Pretoria,Emerging Affluent,2025-08-16,Low,Employed,448991,True
C000006,Ayesha,Meyer,1997-04-19,Female,Gauteng,Sandton,Mass Market,2023-04-01,Low,Employed,257014,True
C000007,Nomsa,Nkosi,1962-09-29,Male,Eastern Cape,Gqeberha,Emerging Affluent,2023-08-14,Low,Employed,466284,True
C000008,Kagiso,Radebe,1976-02-23,Male,Gauteng,Midrand,Affluent,2022-06-22,Low,Employed,656762,True
C000009,Lerato,Gumede,1960-01-12,Female,Gauteng,Sandton,Mass Market,2024-01-20,Medium,Employed,232371,True
C000010,Priya,Naidoo,1970-02-15,Female,North West,Rustenburg,Emerging Affluent,2023-06-16,Low,Employed,305252,True
C000011,Ruan,Radebe,1954-08-29,Male,Western Cape,Cape Town,Mass Market,2024-04-09,Low,Unemployed,72375,True
C000012,Megan,Cele,2004-08-03,Female,Gauteng,Soweto,Emerging Affluent,2026-07-17,Medium,Employed,457419,True
C000013,Muhammad,Khan,1996-05-26,Female,Gauteng,Johannesburg,Mass Market,2023-01-14,Medium,Student,5296,True
C000014,Priya,Ndlovu,1985-10-02,Female,Gauteng,Pretoria,Mass Market,2023-08-10,High,Employed,108794,True
C000015,Fatima,Khan,1978-01-18,Male,Mpumalanga,eMalahleni,Emerging Affluent,2024-09-02,Low,Employed,446207,True
C000016,Ethan,Jacobs,1965-02-17,Female,KwaZulu-Natal,Umhlanga,Emerging Affluent,2024-07-05,Low,Retired,416986,True
C000017,Mpho,Nkosi,1979-11-25,Male,Western Cape,Paarl,Emerging Affluent,2022-02-15,Medium,Employed,336845,True
C000018,Kayla,Botha,1991-07-14,Female,Northern Cape,Upington,Mass Market,2022-04-28,Low,Employed,247867,True
C000019,Fatima,Patel,1961-11-30,Female,Gauteng,Johannesburg,Mass Market,2026-06-23,Low,Self-Employed,263618,True
C000020,Naledi,Cele,1987-04-30,Male,Mpumalanga,eMalahleni,Mass Market,2025-05-22,Medium,Retired,242276,True
C000021,Ayesha,Naidoo,1980-02-04,Female,Gauteng,Sandton,Mass Market,2026-03-02,High,Unemployed,92959,True
C000022,Karabo,Radebe,1953-07-20,Male,Eastern Cape,Gqeberha,Mass Market,2022-09-13,Low,Student,85250,True
C000023,Fatima,Williams,1992-02-16,Male,Western Cape,Paarl,Mass Market,2025-02-06,Medium,Employed,164020,True
C000024,Kagiso,Pillay,1973-06-19,Male,Eastern Cape,Gqeberha,Emerging Affluent,2023-03-30,Low,Employed,374192,False
C000025,Ayanda,Gumede,2002-02-18,Male,Northern Cape,Kimberley,Emerging Affluent,2023-03-04,Low,Employed,389601,True
C000026,Sibusiso,Botha,1989-10-06,Female,Gauteng,Soweto,Mass Market,2026-02-06,Medium,Employed,91462,True
C000027,Kayla,Botha,1971-12-11,Male,North West,Rustenburg,Affluent,2022-07-19,Medium,Self-Employed,866559,True
C000028,Muhammad,Naidoo,1977-10-26,Male,KwaZulu-Natal,Pietermaritzburg,Mass Market,2024-08-01,Low,Student,32249,True
C000029,Megan,Patel,1990-03-11,Male,KwaZulu-Natal,Umhlanga,Emerging Affluent,2025-01-03,Low,Self-Employed,548067,True
C000030,Fatima,Radebe,1961-12-02,Male,Gauteng,Midrand,Affluent,2025-08-21,Low,Self-Employed,1111131,True
C000031,Naledi,Gumede,1986-07-04,Male,Free State,Bloemfontein,Emerging Affluent,2022-12-31,Medium,Self-Employed,406099,True
C000032,Fatima,Jacobs,1970-04-03,Female,Gauteng,Midrand,Mass Market,2025-04-20,Low,Employed,100780,True
C000033,Naledi,Botha,1955-09-20,Male,North West,Rustenburg,Mass Market,2025-07-29,Medium,Student,26330,True
C000034,Priya,Mokoena,1968-10-14,Male,Western Cape,Cape Town,Emerging Affluent,2025-07-02,Low,Employed,405226,True
C000035,Anika,Naidoo,1991-07-27,Female,Western Cape,George,Emerging Affluent,2023-01-25,Low,Employed,321113,True
C000036,Thabo,Adams,1955-01-09,Female,Gauteng,Centurion,Mass Market,2022-06-14,High,Employed,239213,True
C000037,Ayesha,Gumede,1958-08-08,Female,Free State,Bloemfontein,Mass Market,2022-09-01,Low,Employed,136866,True
C000038,Mpho,Meyer,1987-06-28,Male,North West,Rustenburg,Emerging Affluent,2024-11-08,Low,Employed,455624,True
C000039,Zanele,Ndlovu,1978-08-22,Female,Gauteng,Centurion,Emerging Affluent,2024-03-08,Medium,Self-Employed,413936,True
C000040,Lerato,Naidoo,1982-05-16,Female,Gauteng,Pretoria,Mass Market,2024-08-18,Low,Employed,260543,True
C000041,Sipho,Daniels,1985-09-13,Male,Western Cape,Bellville,Emerging Affluent,2024-03-02,Low,Self-Employed,600334,True
C000042,Neo,Botha,1951-12-05,Male,Limpopo,Tzaneen,Emerging Affluent,2025-08-23,Low,Employed,496645,True
C000043,Zanele,Daniels,1968-03-26,Male,Gauteng,Centurion,Mass Market,2024-05-04,Medium,Employed,271896,True
C000044,Priya,Botha,1950-05-12,Female,Gauteng,Centurion,Mass Market,2024-09-05,Low,Employed,150513,True
C000045,Ayesha,Adams,1962-12-24,Male,Gauteng,Johannesburg,Emerging Affluent,2025-12-22,Low,Employed,612994,True
C000046,Ayanda,Meyer,1997-10-12,Male,KwaZulu-Natal,Umhlanga,Emerging Affluent,2025-09-07,Low,Self-Employed,481809,True
